taxonID	isMarine	isFreshwater	isTerrestrial	isExtinct	isBrackish
urn:lsid:marinespecies.org:taxname:1	1	1	1		1
urn:lsid:marinespecies.org:taxname:2	1	1	1		1
urn:lsid:marinespecies.org:taxname:3	1	1	1		1
urn:lsid:marinespecies.org:taxname:4	1	1	1		1
urn:lsid:marinespecies.org:taxname:5	1	1	1		1
urn:lsid:marinespecies.org:taxname:6	1	1	1		1
urn:lsid:marinespecies.org:taxname:7	1	1	1		1
urn:lsid:marinespecies.org:taxname:8	1	1	1		1
urn:lsid:marinespecies.org:taxname:9	1				
urn:lsid:marinespecies.org:taxname:10	1	1	1		1
urn:lsid:marinespecies.org:taxname:11	1	1	1		1
urn:lsid:marinespecies.org:taxname:13	1				
urn:lsid:marinespecies.org:taxname:24	1				
urn:lsid:marinespecies.org:taxname:25	1	1	1		1
urn:lsid:marinespecies.org:taxname:26	1				
urn:lsid:marinespecies.org:taxname:51	1	1	1	0	1
urn:lsid:marinespecies.org:taxname:55	1				
urn:lsid:marinespecies.org:taxname:57	1				
urn:lsid:marinespecies.org:taxname:58	1				
urn:lsid:marinespecies.org:taxname:59	1				
urn:lsid:marinespecies.org:taxname:63	1				
urn:lsid:marinespecies.org:taxname:64	1				
urn:lsid:marinespecies.org:taxname:69	1				
urn:lsid:marinespecies.org:taxname:90	1				
urn:lsid:marinespecies.org:taxname:91	1				
urn:lsid:marinespecies.org:taxname:101	1	1	1		1
urn:lsid:marinespecies.org:taxname:102	1	1	1		1
urn:lsid:marinespecies.org:taxname:103	1	1	1		1
urn:lsid:marinespecies.org:taxname:104	1	0	0	0	0
