taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID
urn:lsid:marinespecies.org:taxname:1	urn:lsid:marinespecies.org:taxname:1	urn:lsid:marinespecies.org:taxname:1			Biota	Biota	Biota															accepted		2004-12-21	WoRMS (2023). Biota. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1					
urn:lsid:marinespecies.org:taxname:2	urn:lsid:marinespecies.org:taxname:2	urn:lsid:marinespecies.org:taxname:2	urn:lsid:marinespecies.org:taxname:1		Animalia	Animalia	Biota			Animalia									Kingdom			accepted		2004-12-21	WoRMS (2023). Animalia. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=2	https://www.marinespecies.org/aphia.php?p=taxdetails&id=2					
urn:lsid:marinespecies.org:taxname:3	urn:lsid:marinespecies.org:taxname:3	urn:lsid:marinespecies.org:taxname:3	urn:lsid:marinespecies.org:taxname:1		Plantae	Plantae	Biota			Plantae									Kingdom	Haeckel, 1866		accepted		2011-07-29	WoRMS (2023). Plantae. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=3	https://www.marinespecies.org/aphia.php?p=taxdetails&id=3					
urn:lsid:marinespecies.org:taxname:4	urn:lsid:marinespecies.org:taxname:4	urn:lsid:marinespecies.org:taxname:4	urn:lsid:marinespecies.org:taxname:1		Fungi	Fungi	Biota			Fungi									Kingdom			accepted		2004-12-21	WoRMS (2023). Fungi. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=4	https://www.marinespecies.org/aphia.php?p=taxdetails&id=4					
urn:lsid:marinespecies.org:taxname:5	urn:lsid:marinespecies.org:taxname:5	urn:lsid:marinespecies.org:taxname:5	urn:lsid:marinespecies.org:taxname:1		Protozoa	Protozoa	Biota			Protozoa									Kingdom	Owen, 1858		accepted		2011-07-29	WoRMS (2023). Protozoa. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=5	https://www.marinespecies.org/aphia.php?p=taxdetails&id=5					
urn:lsid:marinespecies.org:taxname:6	urn:lsid:marinespecies.org:taxname:6	urn:lsid:marinespecies.org:taxname:6	urn:lsid:marinespecies.org:taxname:1		Bacteria	Bacteria	Biota			Bacteria									Kingdom			accepted		2010-01-19	WoRMS (2023). Bacteria. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=6	https://www.marinespecies.org/aphia.php?p=taxdetails&id=6					
urn:lsid:marinespecies.org:taxname:7	urn:lsid:marinespecies.org:taxname:7	urn:lsid:marinespecies.org:taxname:7	urn:lsid:marinespecies.org:taxname:1		Chromista	Chromista	Biota			Chromista									Kingdom			accepted		2008-10-22	WoRMS (2023). Chromista. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=7	https://www.marinespecies.org/aphia.php?p=taxdetails&id=7					
urn:lsid:marinespecies.org:taxname:8	urn:lsid:marinespecies.org:taxname:8	urn:lsid:marinespecies.org:taxname:8	urn:lsid:marinespecies.org:taxname:1		Archaea	Archaea	Biota			Archaea									Kingdom	Woese, Kandler & Wheelis, 1990		accepted		2009-09-24	WoRMS (2023). Archaea. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=8	https://www.marinespecies.org/aphia.php?p=taxdetails&id=8					
urn:lsid:marinespecies.org:taxname:9	urn:lsid:marinespecies.org:taxname:9		urn:lsid:marinespecies.org:taxname:5		Sarcomastigophora		Protozoa			Protozoa	Sarcomastigophora								Phylum			unaccepted		2004-12-21	Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sarcomastigophora. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=9	https://www.marinespecies.org/aphia.php?p=taxdetails&id=9					
urn:lsid:marinespecies.org:taxname:10	urn:lsid:marinespecies.org:taxname:10	urn:lsid:marinespecies.org:taxname:10	urn:lsid:marinespecies.org:taxname:1		Viruses	Viruses	Biota			Viruses									Kingdom			accepted		2015-10-30	WoRMS (2023). Viruses. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=10	https://www.marinespecies.org/aphia.php?p=taxdetails&id=10					
urn:lsid:marinespecies.org:taxname:11	urn:lsid:marinespecies.org:taxname:11	urn:lsid:marinespecies.org:taxname:11	urn:lsid:marinespecies.org:taxname:536209		Ciliophora	Ciliophora	Alveolata			Chromista	Ciliophora								Phylum		ICN	accepted		2011-10-17	WoRMS (2023). Ciliophora. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=11	https://www.marinespecies.org/aphia.php?p=taxdetails&id=11					
urn:lsid:marinespecies.org:taxname:13	urn:lsid:marinespecies.org:taxname:13	urn:lsid:marinespecies.org:taxname:450030	urn:lsid:marinespecies.org:taxname:9		Mastigophora	Myzozoa	Sarcomastigophora			Protozoa	Sarcomastigophora								Subphylum			unaccepted		2011-02-28	Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mastigophora. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=13	https://www.marinespecies.org/aphia.php?p=taxdetails&id=13					
urn:lsid:marinespecies.org:taxname:24	urn:lsid:marinespecies.org:taxname:24		urn:lsid:marinespecies.org:taxname:13		Zoomastigophora		Mastigophora			Protozoa	Sarcomastigophora	Zoomastigophora							Class			unaccepted		2004-12-21	Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Zoomastigophora. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=24	https://www.marinespecies.org/aphia.php?p=taxdetails&id=24					
urn:lsid:marinespecies.org:taxname:25	urn:lsid:marinespecies.org:taxname:25	urn:lsid:marinespecies.org:taxname:25	urn:lsid:marinespecies.org:taxname:24		Choanoflagellida	Choanoflagellida	Zoomastigophora			Protozoa	Sarcomastigophora	Zoomastigophora	Choanoflagellida						Order	Kent, 1880		accepted		2013-11-26	Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Choanoflagellida. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=25	https://www.marinespecies.org/aphia.php?p=taxdetails&id=25					
urn:lsid:marinespecies.org:taxname:26	urn:lsid:marinespecies.org:taxname:26	urn:lsid:marinespecies.org:taxname:562565	urn:lsid:marinespecies.org:taxname:146221		Kinetoplastida	Kinetoplastea	Discomitochondria			Protozoa	Discomitochondria	Kinetoplastida							Class			unaccepted		2011-02-28	Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Kinetoplastida. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=26	https://www.marinespecies.org/aphia.php?p=taxdetails&id=26					
urn:lsid:marinespecies.org:taxname:51	urn:lsid:marinespecies.org:taxname:51	urn:lsid:marinespecies.org:taxname:51	urn:lsid:marinespecies.org:taxname:2		Mollusca	Mollusca	Animalia			Animalia	Mollusca								Phylum		ICZN	accepted		2020-01-29	WoRMS (2023). Mollusca. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=51	https://www.marinespecies.org/aphia.php?p=taxdetails&id=51					
